63370132,https://en.wikipedia.org/wiki/Czeslaw_Sokolowski,Czeslaw Sokolowski,"Abstract. Czesław Sokolowski (July 9, 1877, in Warsaw – November 11, 1951, in Michalin) was a Polish Roman Catholic priest, theologian, rector of the Catholic University of Lublin in 1924–1925, and at the Faculty of Catholic Theology at the University of Warsaw. He was auxiliary bishop of Siedlce from 1919 to 1940, titular bishop of Pentacomia and apostolic administrator of the diocese of Siedlce in the years 1940–1946. He was also considered to be a Nazi collaborator. During World War II, he was one of 4 bishops considered collaborators for striking a deal with the Nazi occupation forces. and he was sentenced to death by the Warsaw Area Special Military Court of the Polish Home Army. The verdict, however, was downgraded to a sentence of loss of civil rights and public reputation."
37408977,https://en.wikipedia.org/wiki/Horseshoe_run,Horseshoe run,"Abstract. The Horseshoe run of the Union Steam Ship Company carried passengers and cargo between Australian and New Zealand ports in the late 19th century. Several ships were used from 1882 for about 15 years: the S.S. Hauroto, the S.S. Manapouri, the S.S. Tarawera, and the S.S. Wairarapa: In the early 1890s there was a battle between the Union Co and Huddart Parker on various Australasian routes including the Melbourne-Hobart route, with undercutting by cheap fares and steamers shadowing each other from port to port. On 29 October 1894, the SS Wairarapa wrecked on Great Barrier Island north east of Auckland. Sailing in a dense fog at high speed, the ship rammed into the cliffs at Miner's Point. The hull was breached and the ship immediately started listing. Only 50 passengers and crewmen survived the wreck; 121 were lost. An inquiry later blamed the captain for maintaining excessive speed."
37552376,https://en.wikipedia.org/wiki/James_%26_Ernie,James & Ernie,"Abstract. James & Ernie are an American Navajo comedy duo consisting of James Junes and Ernest ""Ernie"" David Tsosie III. Early life. James Junes grew up in the Kirtland, New Mexico, area, and Ernie Tsosie, born in 1967, was born in Fort Defiance, Arizona. Filmography."
64060612,https://en.wikipedia.org/wiki/Albert_William_Wolters,Albert William Wolters,"Abstract. Albert William Phillip Wolters (1883–1961) was a British psychologist. History. Wolters spent most of his academic career at the University of Reading. He was initially appointed as a lecturer in the Department of Education in 1908. Here he taught courses in Philosophy and Social Institutions. In 1910 he began teaching psychology and he convinced the university authorities to provide him with facilities to establish a psychological laboratory and subsequently a department of psychology. He was made Professor of Psychology and then Deputy Vice-Chancellor of the university. The School of Psychology and Clinical Language Sciences have established a Walter Wolters Visiting Distinguished Professorship. These have been presented by such international figures as Noam Chomsky and Daniel Dennett. Publications. Wolters, A.W.P. (1933). The Evidence of our Senses. London: Methuen. Awards."
58337916,https://en.wikipedia.org/wiki/Yuriy_Fedechko,Yuriy Fedechko,Abstract. Yuriy Fedechko (Ukrainian: Юрій Федечко; born 15 August 1992) is a Ukrainian modern pentathlete. He competed at the 2010 Summer Youth Olympics where he was 12th in individual competition. He is 2015 European champion in men's relay and 2018 European bronze medalist in men's team competition.
38590604,https://en.wikipedia.org/wiki/Kunes_Chapel,Kunes Chapel,"Abstract. Kunes Chapel (Norwegian: Kunes kapell) is a chapel of the Church of Norway in Lebesby Municipality in Troms og Finnmark county, Norway. It is located in the village of Kunes. It is an annex chapel for the Lebesby parish which is part of the Hammerfest prosti (deanery) in the Diocese of Nord-Hålogaland. The small chapel was built in 1982 and it serves the southern part of the municipality of Lebesby."
38922953,https://en.wikipedia.org/wiki/Chandangaon,Chandangaon,"Abstract. Chandangaon is a village in the Chhindwara district in Madhya Pradesh, India. Chandangaon is 4 km from Chhindwara."
13093500,https://en.wikipedia.org/wiki/Hans_Ertel,Hans Ertel,"Abstract. Hans Ertel (March 24, 1904 in Berlin – July 2, 1971 in Berlin) was a German natural scientist and a pioneer in geophysics, meteorology and hydrodynamics. Life and work. Hans Ertel began his scientific career at the former Preußischen Meteorologischen Institut (Prussian Meteorological Institute), where the representatives of the Austrian school of meteorology, (Heinrich von Ficker and Albert Defant) had formative influence on him and gave him their lasting support. Ertel continued the works of Felix Maria von Exner-Ewarten, a leading theoretical meteorologist of his time who lived in Vienna, and he completed many of them. He developed into a capable theoretical physicist early on and he was already to publish research results or theoretical approaches in this subject as a young man. Ertel's famous vorticity equation of 1942 belongs today to the basic work of modern geophysics and astrophysics. In 1943, he was given the position of professor for meteorology and geophysics at the University of Innsbruck, and he also attended lectures by Arnold Sommerfeld. After Second World War, Ertel was interested in a professorship for geophysics at the University of Munich, but was instead appointed to professor for geophysics at Berlin University in 1946, where he also became the director of the Institute for Meteorology and Geophysics which belonged to the university. At the invitation of various scientists, such as Hilding Köhler, Markus Bath and Carl-Gustav Rossby, with whom he also maintained long friendships, Ertel held lectures at Stockholm University and Uppsala University in Sweden and took part in congresses, thereby creating a good reputation for his field of research at the Berlin University. As a member of the Deutschen Akademie der Wisschaften zu Berlin, (German Academy of Sciences Berlin), or DAW, Ertel founded and led the Institute for Physical Hydrography of this academy as of 1948. In 1949, Ertel was elected to be a full member of the DAW and was its vice president from 1951 to 1961. During this time, he saw to the founding of some new academy institutes, and also ensured that all of Germany could participate during the International Geophysical Years (1957/58 and 1958/59). The research on geo-ecology, which began under his leadership at the institute, is considered to be pioneering work today. The following areas of emphasis in research from his time as leader of the Institute enriched scientific knowledge and the subject areas to a great degree: The results of his work were regularly published in specialized international and national magazines (e.g., the Monthly Reports of the German Academy of Sciences), as well as in the magazine of the institute, Acta Hydrophysica, and soon led to a high reputation for himself and for his institute. Even beyond his institute, Ertel made sure that the magazines, Gerlands Beiträge zur Geophysik, Zeitschrift für Meteorologie and Forschungen und Fortschritte appeared and he collaborated on the Deutschen Literaturzeitschrift himself. Furthermore, he held guest lectures abroad, especially at conferences, participated in research trips and supported international projects. Personally, Ertel was concerned with coastal protection, theoretical geomorphology, meteorological problems and cosmology. Selected publications. The following publications are in the Academy Library of the Berlin-Brandenburg Academy of Sciences: Between 1991 and 2006, Wilfried Schröder published Collected Works of Hans Ertel, seven volumes in all, Science Edition, Bremen. A commemorative work appeared on the 100th anniversary of his birth with the title, ""Meteorological and Geophysical Fluid Dynamics"", published by Wilfried Schröder, with contributions by internationally renowned scientists, Science Edition, Bremen. His geophysical works on hydrodynamics appeared as Ertel Collected Works ""Geophysical Fluid Dynamics"", published by Wilfried Schröder, Science Edition, Bremen, 2004. Commemorative articles on Hans Ertel by Wilfried Schröder appeared in EOS (2004), WMO Bulletin (2004), as well as in a review in Idöjaras (Budapest, 2004). A biography of Hans Ertel by Wilfried Schröder was published in the magazine of the Royal Meteorological Society, ""Weather"", in 1999. An article on the life and work of Hans Ertel, also by Wilfried Schröder, is also contained in ""Dictionary of Scientific Biographies""."
73987431,https://en.wikipedia.org/wiki/Hulle_(surname),Hulle (surname),Abstract. Hulle is a surname of Old English origin. Notable people with the surname include:
3356090,https://en.wikipedia.org/wiki/Butterstick,Butterstick,Abstract. Butterstick may refer to:
